artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,339.4527871608734,None,339.43510444164275,341.45295906066895,340.8361302137375,None,344.2363940000534,None,345.6374271631241,355.65350914001465,356.0379021883011,None,357.4536030292511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.4710202217102,391.5053632259369,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",361.4710202217102,391.5053632259369,361.4351917028427,None,390.87212204933167,None,,394.239666223526,None,394.22005541324614,396.23992705345154,Das laute Auto meines Nachbarn stört mich jeden Tag.,395.6387641429901,None,397.02330405712127,398.0388960838318,409.8228631734848,410.8396611213684,411.23957204818726,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.2732951641083,None,415.2544294118881,417.27323508262634,"Zu den hundeartigen Tieren, die in Österreich leben, gehört der Wolf.",416.67330622673035,None,418.0566161394119,None,430.8574159860611,None,432.2740831375122,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.3242211341858,None,436.3055514335632,438.32434916496277,Linda trinkt lieber eine heiße Schokolade.,437.72433519363403,None,439.10766513347625,None,451.89214808940886,None,453.3083441257477,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_002.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.34258008003235,None,457.3233674287796,459.3421151638031,Nur mit der Fahrkarte kann man einsteigen.,458.74242305755615,None,460.1253941774368,None,472.92597205638884,None,474.34321808815,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_003.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.394150018692,None,478.37434949874876,480.39445304870605,"Da drüben raucht es, wir sollten die Feuerwehr holen.",479.79336309432983,None,481.1763799905777,None,493.97710807323455,None,495.3937621116638,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_004.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.41109013557434,None,499.38034160137175,501.4108340740204,Es besteht eine starke Verbindung zwischen Musik und Kunst.,500.81074500083923,None,502.1941540956497,None,514.9948130369187,None,516.4115102291107,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_005.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.4120180606842,None,520.3942204236985,522.4118030071259,Ein Fußball Team besteht aus zehn Spielern und einem Tormann.,521.8118371963501,None,523.1952989816666,None,535.9959641218186,None,537.4125430583954,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_006.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.4644291400909,None,541.4274194955826,543.4628632068634,Während der Weihnachtszeit gibt es unter dem Weihnachtsbaum Geschenke für die Kinder.,542.8630840778351,None,544.2511602163315,None,557.0471029996872,None,558.4636840820312,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_007.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.4806480407715,None,562.4451354265213,564.4806711673737,Bienen liefern Honig.,563.8809380531311,None,565.2640012025834,566.2807581424713,578.0646951913834,None,579.4813210964203,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_008.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.4988391399384,None,583.4795145034791,585.4984531402588,"Meine Eltern schauten vorbei, um sich meinen neuen Garten anzusehen.",584.8982980251312,None,586.2818420648575,587.298483133316,599.0823322057724,600.0991740226746,600.4991970062256,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1509/rec_cali_de_pre_trial_009.wav,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.516618013382,None,Please remain seated until further instruction via the earphone.,651.6850781440735,None,654.7193651199341,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",654.7193651199341,None,654.6989067316056,None,"Please keep relaxed and close your eyes.
",677.7869391441345,697.8208420276642,699.6040720939636,None,,,,,,,,,,,,,,,,,,,,,,,,,,
