artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,313.97432494163513,313.97432494163513,313.95763318538667,315.9586660861969,316.3586670637131,None,319.75729315280915,None,321.1577231168747,331.1581029891968,331.55927102565767,None,332.95770597457886,333.9582269191742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,333.9749131202698,None,333.97489802837373,335.9744689464569,336.35783712863923,None,339.75937407016755,340.7594521045685,341.15942018032075,351.1587960720062,351.55876700878144,None,352.9431519508362,353.94217896461487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,353.97552490234375,None,353.97554008960725,355.9761800765991,356.35897104740144,359.35909390449524,359.75910918712617,None,361.16014020442964,371.17579102516174,371.5598181962967,None,372.95920300483704,373.9591369628906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,373.976371049881,None,373.97580807209016,375.9761130809784,376.3594390630722,None,379.7596711397171,380.7599720954895,381.1601120710373,391.15995693206787,391.5599641084671,None,392.9599680900574,393.96045899391174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,393.9772300720215,None,393.9771301031113,395.9776198863983,396.3605000257492,None,399.76175515651704,None,401.161829161644,411.1622579097748,411.5456341981888,None,412.94567608833313,413.9459300041199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.9790771007538,443.9805190563202,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",413.9790771007538,443.9805190563202,413.9790741682053,None,444.3791708946228,None,,444.4125030040741,None,444.39584200382234,446.3975360393524,Die Zähne werden geputzt und der Bart rasiert.,446.79729890823364,464.39825892448425,448.19743316173555,None,460.99809210300447,None,462.39672899246216,464.39825892448425,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1838/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.43165707588196,None,464.4149300336838,466.4317491054535,Früher haben in Europa und Asien Neandertaler gelebt.,466.79841899871826,484.3979299068451,468.19846312999726,None,480.997744011879,None,482.3992590904236,484.3979299068451,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1838/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.4327290058136,None,484.43275706768037,486.43279910087585,Dieses Brot ist maschinell hergestellt worden.,486.8161509037018,504.41714906692505,488.2181751012802,None,501.017001080513,None,502.4171509742737,504.41714906692505,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1838/rec_cali_de_pre_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.4671559333801,None,504.46716239452365,506.467325925827,Einige NGOs schützen die Rechte der Menschen.,506.85067105293274,None,508.2507042169571,None,521.0500530481338,None,522.4516429901123,None,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1838/rec_cali_de_pre_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.4351689815521,None,524.4349631547927,526.4352860450745,Die Ärztin hat Andrea ein Rezept ausgestellt.,526.8186910152435,544.4195001125336,528.2185391664505,None,541.0193530797958,None,542.4194920063019,544.4195001125336,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1838/rec_cali_de_pre_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
