run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,0,1,0,13,0,13,0,186.2513828277588,None,Listen to the question and speak out your answer!,202.53465390205383,None,202.5249568939209,204.552081823349,Die Ergebnisse werden auf einer Skala von eins bis zehn angezeigt.,angezeigt,203.90128440856932,208.10109901428223,208.51780529022216,None,219.11834139823912,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1307/rec_QA_run_00_block_001_trial_013.wav,00,00,,A1,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,13,No,2020_Mai_31_1307,nibs_stage_1,3.2.3,59.99267667521054,
0,0,0,0,1,0,1,0,14,0,14,0,,,Listen to the question and speak out your answer!,221.56944489479065,None,221.55592317581176,223.602924823761,Plastik Müll belastet die Umwelt.,belastet,222.95254321098326,None,225.71998233795165,None,238.1534122943878,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1307/rec_QA_run_00_block_001_trial_014.wav,00,00,,A1,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,13,No,2020_Mai_31_1307,nibs_stage_1,3.2.3,59.99267667521054,
