run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,358.37625002861023,None,358.355336022377,360.3758759498596,Ihre Freundlichkeit gab mir ein Gefühl von Sicherheit.,gab,359.75794751644133,362.9760091304779,363.35813863277434,None,374.958726477623,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_015.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,378.37750816345215,None,378.35644896030425,380.3757109642029,"Die Deutschen sind immer organisiert und werden alles planen, bevor sie irgendetwas tun.",planen,379.7592304468155,None,385.2257986783981,None,394.9431534528732,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_016.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,398.36063599586487,None,398.34074289798735,400.3601551055908,Alexander Bell hat das Telefon erfunden.,erfunden,399.7433245897293,402.4602451324463,402.843496632576,403.8602590560913,414.9441276311874,415.96080899238586,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_017.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,418.36122012138367,None,418.34161002635955,420.3611559867859,Auf der Youtube kann man Videos anschauen.,anschauen,419.7443195104599,422.3277750015259,422.71092755794524,423.7279210090637,434.94519646167754,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_018.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,438.36251616477966,None,438.34287292957305,440.3620390892029,Ich schnitt das Fleisch in Würfel.,schnitt,439.74532754421233,None,442.04546744823455,None,454.9460776567459,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_019.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,458.36369800567627,None,458.3436148881912,460.36309695243835,"Wir haben eine Testversion heruntergeladen, um die Nutzbarkeit der Software zu testen.",heruntergeladen,459.7463136434555,465.0966200828552,465.48000462055205,466.4966781139374,474.94717366695403,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_020.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,478.3645451068878,None,478.344602894783,480.3640151023865,Sein Versprechen klingt glaubwürdig.,klingt,479.7474566221237,None,482.4142435312271,None,494.9491124868393,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_021.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,498.36530900001526,None,498.3455889940262,500.3650281429291,Er pflegte jeden Abend auf Pferden zu reiten und durch die Wälder zu gehen.,reiten,499.7483855009079,None,504.5487306833267,505.56532096862793,514.9490535974503,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_022.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,518.3667199611664,None,518.3467128992081,520.3660621643066,"Wir mussten ein amtliches Formular ausfüllen, als wir geheiratet haben.",ausfüllen,519.7493706464768,524.0665440559387,524.4505666017533,None,534.9500685453415,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_023.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,538.3676691055298,None,538.3479109525681,540.3670451641083,"Tut mir leid, darf ich fragen warum?",fragen,539.7503736734391,None,542.6504934549332,None,554.952125620842,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_024.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,,,,,,,,559.3847379684448,None,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,748.4116141796112,None,748.3901000738144,750.4110791683197,"Ausländische Studenten, die wenig Geld haben, brauchen ein Stipendium.",brauchen,749.7941766500473,754.2786469459534,754.6610406160355,755.6778140068054,764.9948476076127,766.0116350650787,766.4126091003418,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_000.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,768.4452559947968,None,768.4267149686814,770.4454669952393,Der Ton macht die Musik.,macht,769.8286104917527,771.4785690307617,771.8618696451188,None,785.0294786214829,786.0460240840912,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_001.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,788.4129159450531,None,788.3933768987656,790.412840127945,Josi hat letzte Nacht nur wenig Schlaf gefunden.,gefunden,789.796446633339,None,793.1962395429612,None,804.9968546152115,806.0135731697083,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_002.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,808.4145400524139,None,808.3944679021836,810.4140000343323,Sonja nimmt ihren Tee mit Milch und Zucker.,nimmt,809.797192645073,None,812.9307976484299,813.9474160671234,824.9979234457016,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_003.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,828.4154260158539,None,828.39546687603,830.414783000946,Du muss deine schmutzige Kleidung in der Wäscherei waschen.,waschen,829.7981885194779,None,833.3651295423508,None,844.998807501793,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_004.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,848.4187960624695,None,848.3963599920273,850.4167649745941,"Die Suppe wird nicht so heiß gegessen, wie sie gekocht wird.",gegessen,849.7991204977036,None,853.4992516756058,None,864.9998315095902,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_005.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,868.4174311161041,None,868.3974939107895,870.4177930355072,Eltern kümmern sich um ihre Kinder.,kümmern,869.800179553032,None,872.4002266645432,None,885.0009835481644,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_006.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,888.418454170227,None,888.3984909772873,890.4179220199585,Ich kann das Buch nirgends finden.,finden,889.8012614965439,None,892.0679386377335,None,905.0019555807114,906.018562078476,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_007.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
