pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,25.740813970565796,None,25.729302453994748,27.74143409729004,Die Zähne werden geputzt und der Bart rasiert.,27.10775399208069,None,28.507903480529784,None,41.30879535675049,None,42.70899701118469,None,./data/Subject_00/Session_00/Exp_data/2020_Aug_19_0748/rec_cali_de_pre_trial_000.wav,00,00,,A1,False,False,False,False,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Aug_19_0748,nibs_stage_1,3.2.3,59.99447873382777,
1,0,1,0,,,,,,45.74234700202942,None,45.729115867614745,47.742680072784424,Früher haben in Europa und Asien Neandertaler gelebt.,47.10936093330383,64.71072602272034,48.50958933830261,None,61.310380363464354,None,62.710538148880005,64.71072602272034,./data/Subject_00/Session_00/Exp_data/2020_Aug_19_0748/rec_cali_de_pre_trial_001.wav,00,00,,A1,False,False,False,False,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Aug_19_0748,nibs_stage_1,3.2.3,59.99447873382777,
