pre_block.thisRepN,pre_block.thisTrialN,pre_block.thisN,pre_block.thisIndex,text_2.started,text_2.stopped,Title.started,Title.stopped,RS_text.started,RS_text.stopped,RS_close.started,RS_close.stopped,Continue.started,Continue.stopped,Recording_2.started,Recording_2.stopped,text.started,text.stopped,say_something_2.started,say_something_2.stopped,filename,Cali_MT.started,Cali_MT.stopped,text_7.started,text_7.stopped,say_something_4.started,say_something_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,6.838813257217407,None,6.870390892028809,20.88765788078308,6.870390892028809,20.88765788078308,6.855490946769715,None,20.854782819747925,None,24.687925815582275,None,33.671911001205444,34.67258381843567,34.721951961517334,44.722978830337524,empty.wav,,,,,,,001,,2019_Dec_28_1957,vvk,3.2.3,60.0399091879883,
0,0,0,0,,,,,,,,,,,,,,,,,empty.wav,34.70593919754029,None,38.688802003860474,44.68965983390808,49.72269582748413,None,001,,2019_Dec_28_1957,vvk,3.2.3,60.0399091879883,
