run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,77.75133109092712,None,"Please keep relaxed and close your eyes.
",264.1609420776367,444.1705992221832,447.55393719673157,None,Listen to the question and speak out your answer!,462.6050581932068,None,462.60493297576903,464.60499811172485,Die Band beendete das Konzert unter großem Beifall.,beendete,463.98831968307496,None,467.6884747028351,None,479.1888885974884,None,480.5890610218048,481.5889310836792,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_000.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,Listen to the question and speak out your answer!,483.68957018852234,None,483.6725068092346,485.6727921962738,Am Strand spielt ständig laute Musik.,spielt,485.07275371551515,487.63945603370667,488.0398476600647,None,500.2735407829285,None,501.67367005348206,502.67367005348206,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_001.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,Listen to the question and speak out your answer!,504.74080300331116,None,504.7239085674286,506.7236680984497,"Ich empfehle dieses Buch, weil es sehr gut ist.",empfehle,506.1235836029053,509.0571231842041,509.47383670806886,None,521.324436712265,None,522.7244260311127,523.7245941162109,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_002.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,Listen to the question and speak out your answer!,525.7913551330566,None,525.7748326301574,527.7747721672058,Die Universität hat meinen Studentenausweis ausgestellt.,ausgestellt,527.174802827835,530.7750020027161,531.1749356269836,None,542.375543642044,543.3756070137024,543.77570104599,544.7756230831146,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_003.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,Listen to the question and speak out your answer!,546.8259251117706,None,546.8091929912566,548.8091821670532,"Bitte, erinnern Sie mich daran, wenn ich es vergessen sollte.",erinnern,548.2090766906738,None,551.9927216053009,None,563.4099786758422,None,564.8100500106812,565.8099980354309,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_004.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,Listen to the question and speak out your answer!,567.8602540493011,None,567.8602365493774,569.8602960109711,Die Atmosphäre der Erde besteht aus Luft.,besteht,569.2436898231506,572.0104629993439,572.4271147727966,None,584.4444187164306,585.4444651603699,585.8444831371307,586.8445281982422,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_005.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,Listen to the question and speak out your answer!,588.9113991260529,None,588.8947667121887,590.8946640491486,"Diese Dame ist US-Bürgerin, wurde aber in Deutschland geboren.",geboren,590.2947197437286,None,594.7288506507873,None,605.4955046653747,606.4956002235413,606.8789482116699,607.8789360523224,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_006.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,Listen to the question and speak out your answer!,609.9627721309662,None,609.9459237098694,611.9458611011505,Zur Registrierung meines Kontos musste ich ein Formular ausfüllen.,ausfüllen,611.329248714447,615.3626930713654,615.7794776439666,None,626.5299356460571,None,627.9301431179047,628.929986000061,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_007.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,Listen to the question and speak out your answer!,630.9803371429443,None,630.963555908203,632.9635920524597,Sam glaubt an eine marxistische Weltanschauung.,glaubt,632.3469057559967,None,635.64708070755,None,647.5477197647094,None,648.9644460678101,None,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_008.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,Listen to the question and speak out your answer!,652.0148191452026,None,651.9980820178985,654.014710187912,"Er wird seinem Traum folgen, egal was die Leute reden.",reden,653.3979726314544,656.8484201431274,657.231542634964,None,668.5988216876983,None,670.0155730247498,None,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1439/rec_QA_run_03_block_000_trial_009.wav,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_03_1439,nibs_stage_1,3.2.3,60.02684840383663,
