pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_000.wav,,,1062.3482100963593,1076.3811111450195,1062.3482100963593,1076.3811111450195,1062.3302647829055,None,1076.7642841339111,None,1100.8503749370575,1110.8846831321716,1112.6661989688873,None,1126.7847950458527,1158.8185551166534,1126.7847950458527,1158.8185551166534,1126.766854739189,None,1159.2019510269165,None,1162.520437002182,None,1162.5021197557448,1164.5188341140747,1164.9031686544417,1170.5357711315155,1179.3196556329726,1180.3365750312805,1189.1203458070754,1190.136901140213,1190.5369091033936,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.55477809906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,1196.5079970359802,None,1196.4908356428145,1198.5374240875244,1198.887354826927,1204.5375320911407,1213.2880396604537,1214.3049459457397,1223.088538622856,1224.1052680015564,1224.5053129196167,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.5565021038055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_000.wav,,,1265.5576400756836,1279.5921721458435,1265.5576400756836,1279.5921721458435,1265.5406517744063,None,1279.9749341011047,None,1282.676351070404,1292.7254221439362,1294.4755709171295,None,1308.2943260669708,1340.3278920650482,1308.2943260669708,1340.3278920650482,1308.2770747900008,None,1340.7112510204315,None,1347.7142300605774,None,1347.6949286222457,1349.7119309902191,1350.0950646162032,1355.7453560829163,1364.495811676979,1365.5127320289612,1374.2965116262435,1375.3129370212555,1375.7129600048065,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.7304611206055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,3,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,1379.8315370082855,None,1379.8132717370986,1381.830050945282,1382.2133836507796,1387.8471591472626,1396.6140796899795,1397.6309061050415,1406.3979437112807,1407.4313790798187,1407.83136510849,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.8657310009003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
