pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.2999942302704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,485.2172050476074,510.2506980895996,485.19988946914674,None,485.7670714378357,489.7831439971924,500.16671152114867,None,509.16789240837096,510.18459010124207,509.1845450401306,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,514.4353492259979,539.4690911769867,514.4176135540009,None,515.0175773620606,519.0512540340424,529.4353513240815,None,538.4354323863984,539.4690911769867,538.4705281257629,514.4353492259979,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.7361171245575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_000.wav,,,615.1056740283966,629.1552510261536,615.1056740283966,629.1552510261536,615.0885803222657,None,629.1061971187592,None,636.5728931427002,646.6238601207733,646.5737011432648,None,647.9439461231232,679.9918072223663,647.9439461231232,679.9918072223663,647.9233032226563,None,679.9408700466156,None,691.9259510040283,716.9599640369415,691.9088084697723,None,692.508480501175,696.5256631374359,706.909478378296,None,715.9088193893433,716.9262280464172,715.9252932071686,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,721.1934101581573,746.2108941078186,721.1761858463287,None,721.7770754814148,725.8259251117706,736.1774353504181,737.1941571235657,745.1765465259552,746.2108941078186,745.2105350494385,721.1934101581573,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.4776511192322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,752.1789131164551,777.2126371860504,752.1615713596344,None,752.7615463256836,756.7784280776978,767.1608914852143,768.1792850494385,776.162569475174,777.1788761615753,776.1802470684052,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,781.4308202266693,806.4639980792999,781.4127965450288,None,782.0128354549408,786.028596162796,796.4149193286896,None,805.4131023406983,806.4302310943604,805.4297680854797,781.4308202266693,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.697053194046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.1137452125549,822.1307501792908,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_000.wav,,,854.3824172019958,868.4669630527496,854.3824172019958,868.4669630527496,854.3657915115357,None,868.4002320766449,None,875.3004050254822,885.3839781284332,885.3174090385437,None,907.4188420772552,939.5035011768341,907.4188420772552,939.5035011768341,907.4016932010651,939.4357631206512,939.4357631206512,None,950.2048032283783,975.2216031551361,950.1872494220734,None,950.7869734287262,954.8038651943207,965.1881904125214,None,974.188576412201,975.2216031551361,974.2215120792389,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,979.4890069961548,1004.5233111381531,979.4718298912048,None,980.071943473816,984.0886192321777,994.4716903686524,995.4895431995392,1003.4730095386506,1004.4895031452179,1003.4888110160828,979.4890069961548,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.756087064743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,1060.1103382110596,1085.1455590724945,1060.0914803504945,None,1060.6926953315735,1064.709613084793,1075.0934473991394,1076.1097700595856,1084.093889427185,1085.1125860214233,1084.1106631755829,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,1089.3781440258026,1114.3941922187805,1089.3607878684998,None,1089.9608304023743,1093.977688074112,1104.3604273319245,1105.3782742023468,1113.361334514618,1114.3941922187805,1113.394495010376,1089.3781440258026,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.6618311405182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
