385.5111 	EXP 	QA_rec_break: autoDraw = False
385.5111 	EXP 	QA_rec_text: autoDraw = True
409.4793 	EXP 	QA_rec_break: autoDraw = True
410.5448 	EXP 	QA_rec_text: autoDraw = False
414.5989 	EXP 	New trial (rep=14, index=0): None
414.7286 	EXP 	QA_rec_break: autoDraw = False
414.7286 	EXP 	QA_rec_text: autoDraw = False
414.7286 	EXP 	QA_rec_break: autoDraw = False
414.7286 	EXP 	QA_rec_text: autoDraw = True
438.7310 	EXP 	QA_rec_break: autoDraw = True
439.7646 	EXP 	QA_rec_text: autoDraw = False
443.8486 	EXP 	New trial (rep=15, index=0): None
443.9975 	EXP 	QA_rec_break: autoDraw = False
443.9975 	EXP 	QA_rec_text: autoDraw = False
443.9975 	EXP 	QA_rec_break: autoDraw = False
443.9975 	EXP 	QA_rec_text: autoDraw = True
467.9992 	EXP 	QA_rec_break: autoDraw = True
469.0316 	EXP 	QA_rec_text: autoDraw = False
473.1198 	EXP 	New trial (rep=16, index=0): None
473.2659 	EXP 	QA_rec_break: autoDraw = False
473.2659 	EXP 	QA_rec_text: autoDraw = False
473.2659 	EXP 	QA_rec_break: autoDraw = False
473.2659 	EXP 	QA_rec_text: autoDraw = True
497.2340 	EXP 	QA_rec_break: autoDraw = True
498.2994 	EXP 	QA_rec_text: autoDraw = False
502.3522 	EXP 	New trial (rep=17, index=0): None
502.5006 	EXP 	QA_rec_break: autoDraw = False
502.5006 	EXP 	QA_rec_text: autoDraw = False
502.5006 	EXP 	QA_rec_break: autoDraw = False
502.5006 	EXP 	QA_rec_text: autoDraw = True
506.6172 	DATA 	Mouse: Left button down, pos=(399,257)
506.7185 	DATA 	Mouse:  Left button up, pos=(399,257)
507.3173 	DATA 	Keypress: escape
507.3577 	EXP 	window1: mouseVisible = True
