pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,12.929906845092773,32.940593957901,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",12.929906845092773,32.940593957901,12.922021293640137,32.92382884025574,33.29051995277405,None,,34.57394099235535,None,34.57391998767853,36.57399892807007,Die Schneiderin näht Kleid für den Maturaball .,36.95733094215393,64.55889391899109,42.35553119182587,43.355748891830444,61.158619141578676,None,62.558586835861206,64.55889391899109,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_Mai_06_1514,nibs_stage_1,3.2.3,59.99267667521054,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,64.5931248664856,None,64.57554910182952,66.57546591758728,"Ein Flüchtling ist jemand , der aus Not seine Heimat verlässt .",66.95880699157715,94.56030082702637,72.35910604000091,None,91.16007611751556,92.16018295288086,92.56019496917725,94.56030082702637,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_Mai_06_1514,nibs_stage_1,3.2.3,59.99267667521054,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.28108286857605,None,147.14543890953064,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",147.14543890953064,None,147.12732717990875,157.14570593833923,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",157.19665479660034,177.22882080078125,178.97892999649048,None,194.314523935318,234.34962701797485," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - 40 Hz beep (blank): censored word              
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",194.314523935318,234.34962701797485,194.2963790655136,None,234.69837594032288,None,Listen to the question and speak out your answer!,235.26709699630737,None,235.248562502861,237.2664589881897,,,,,,,,,,,,,,,,,,,,,,,,
