pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,1,0,1,0,4,0,4,0,5.414599895477295,None,10.414840936660767,None,11.08219599723816,None,11.065808963775636,13.06578278541565,13.44914665222168,19.08226180076599,27.849001550674437,28.86573100090027,37.64950647354126,38.66631484031677,39.06610298156738,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_004.wav,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1918,nibs_stage_1,3.2.3,60.01319221573422,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1918,nibs_stage_1,3.2.3,60.01319221573422,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1918,nibs_stage_1,3.2.3,60.01319221573422,
,,,,3,0,3,0,0,0,0,0,0,0,0,0,,,,,134.33916187286377,None,134.30728163719178,136.33797597885132,136.72133054733277,None,151.12202157974244,152.13876581192017,160.92247953414918,161.93920397758484,162.33932399749756,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_000.wav,72.66897583007812,86.70209693908691,72.66897583007812,86.70209693908691,72.65245952606202,None,87.0854229927063,None,87.78687882423401,97.81939578056335,99.60280895233154,None,101.00530982017517,133.03776788711548,101.00530982017517,133.03776788711548,100.98631253242493,None,133.42111086845398,None,01,01,,,2020_Mar_03_1918,nibs_stage_1,3.2.3,60.01319221573422,
