run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,9.711732864379883,None,14.69505786895752,None,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
0,0,0,0,,,,,,,,,,,,,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
1,0,1,0,0,0,0,0,,,,,,,,,17.3449809551239,None,22.32872200012207,None,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
1,0,1,0,,,,,,,,,,,,,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
2,0,2,0,0,0,0,0,,,,,,,,,55.23125386238098,None,60.23135495185852,None,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
2,0,2,0,,,,,,,,,,,,,,,,,01,01,,,2020_Jan_21_1054,nibs_stage_1,3.2.3,60.00743958200995,
,,,,,,,,,,,,,,,,60.28060483932495,None,65.26494002342224,None,,,,,,,,,
