pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,5.696597099304199,None,10.683274984359741,None,01,01,,,2020_Feb_27_1723,nibs_stage_1,3.2.3,59.97003145553332,
,,,,0,0,0,0,1,0,1,0,,,,,01,01,,,2020_Feb_27_1723,nibs_stage_1,3.2.3,59.97003145553332,
,,,,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1723,nibs_stage_1,3.2.3,59.97003145553332,
