run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,15.181045055389404,55.183478116989136," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - 40 Hz beep (blank): censored word              
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",15.181045055389404,55.183478116989136,15.164682912826537,None,55.567392110824585,None,Listen to the question and speak out your answer!,140.95377707481384,None,140.93692512512206,142.95495796203613,unterrichtet,143.32172451019287,147.88876795768738,148.30511651039123,None,167.53939757347106,None,168.9551830291748,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,Listen to the question and speak out your answer!,171.02307891845703,None,170.98863496780396,173.02204203605652,kann,173.40541253089904,177.78927302360535,178.17368659973144,None,197.59001049995422,198.60664701461792,199.00797510147095,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,Listen to the question and speak out your answer!,200.9761528968811,None,200.95678858757017,202.97464299201965,ausgestellt,203.35690746307372,None,207.25728259086608,None,227.54251561164855,228.5581738948822,228.95817399024963,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,Listen to the question and speak out your answer!,230.99827694892883,None,230.9582950592041,232.99187397956848,regnet,233.37507853507995,None,237.17666540145873,238.1935920715332,257.5596054553986,None,258.97640109062195,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_001.wav,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_1525,nibs_stage_1,3.2.3,59.88090360215921,
