artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,291.99673891067505,None,291.9807980298996,293.9961988925934,293.3627624750137,None,296.76337745189664,297.763041973114,298.16309168338773,308.1636998653412,308.5636265516281,None,309.96361804008484,310.9637260437012,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,314.01391100883484,None,313.9986620187759,316.01399397850037,315.3806545972824,None,318.7810676336288,319.7808940410614,320.18087961673734,330.18142795562744,330.58178355693815,None,331.98149394989014,332.9815969467163,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,336.03174686431885,None,336.01637198925016,338.03200101852417,337.39849665164945,340.39862298965454,340.79857566356657,341.7986829280853,342.1987765073776,352.1992049217224,352.59924747943876,None,353.9993209838867,354.9993369579315,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,358.0661189556122,None,358.05086355209346,360.0662729740143,359.44955947399137,None,362.84970858097074,None,364.24988462924955,374.25040102005005,374.65037658214567,375.6503789424896,376.0504629611969,377.0504789352417,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,380.0839898586273,None,380.06894209384916,382.0840609073639,381.45078852176664,None,384.85081865787504,None,386.2509715795517,396.25157403945923,396.6515145540237,None,398.0515949726105,399.05161595344543,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.10169506073,433.13649797439575,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",403.10169506073,433.13649797439575,403.08736565113065,None,432.503133058548,None,,445.33733892440796,None,445.32184102535246,447.33723998069763,Kannst du bitte die Wäsche in die Sonne hängen?,446.7204558849335,464.32168793678284,448.12055160999296,None,460.9048905611038,None,462.30490708351135,464.30497789382935,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_000.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.35492396354675,None,467.339826130867,469.35504603385925,"Ich sitze weit entfernt von der Bühne, also schaue ich durch ein Fernglas.",468.7389290332794,486.3392369747162,470.13843562602995,471.13838601112366,482.93906047344205,483.93904995918274,484.3390910625458,486.3392369747162,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_001.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.3728370666504,None,489.3575179815292,491.3730080127716,Manche Politiker wollen den Frieden auf Erden sichern.,490.75606298446655,508.3571288585663,492.1562116384506,None,504.9402165651321,None,506.34028005599976,508.3403630256653,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_002.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.390634059906,None,511.3751580953598,513.390636920929,Dieses Brot ist maschinell hergestellt worden.,512.7572619915009,530.3582410812378,514.157359623909,None,526.958062672615,None,528.3580989837646,530.3582410812378,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_003.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.4083859920502,None,533.3930249452591,535.4084520339966,Entweder hat mir jemand die Geldtasche gestohlen oder ich habe sie verloren.,534.7917630672455,552.3926649093628,536.1918566465378,537.1918849945068,548.9924974679947,None,550.392529964447,552.3926649093628,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_004.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.4262318611145,None,555.4109380483627,557.426265001297,"Wo Licht ist, ist auch Schatten.",556.7930738925934,574.3941328525543,558.1928916215896,None,570.9938175916672,None,572.3939130306244,574.3941328525543,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_005.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.4441130161285,None,577.4295430421829,579.4442899227142,"Ich habe Hunger, was kochst du heute?",578.8276009559631,596.4285218715668,580.2276594877243,None,593.0283575296402,594.028312921524,594.428307056427,596.4285218715668,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_006.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.4620020389557,None,599.4467261075973,601.4622859954834,"Ich möchte dich nicht täuschen, also werde ich dir die Wahrheit sagen.",600.8453838825226,618.4461948871613,602.2454896211624,603.2455060482025,615.0462396383285,616.0461940765381,616.4462840557098,618.4461948871613,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_007.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.4806489944458,None,621.4644520521164,623.4798848628998,Der Mars hat eine orangerote Farbe.,622.8465158939362,640.4474120140076,624.2465896844864,None,637.0472774744034,638.0474848747253,638.4473359584808,640.4474120140076,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_008.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.49764585495,None,643.4824679136276,645.4976849555969,Lisa kann schon mit großen Zahlen rechnen.,644.8809978961945,662.4818849563599,646.281054520607,647.2811138629913,659.0651445627212,None,660.4818558692932,662.4818849563599,./data/Subject_04/Session_01/Exp_data/2020_Jul_11_1057/rec_cali_de_pre_trial_009.wav,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.515408039093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
