pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_000.wav,484.54280185699463,498.57193398475647,484.54280185699463,498.57193398475647,484.5206225156784,None,498.9546399116516,None,500.77550888061523,510.80581998825073,512.5889108181,None,514.4302358627319,546.4575538635254,514.4302358627319,546.4575538635254,514.4054603815079,None,546.8403518199921,None,548.2809669971466,None,548.2571974039078,550.2744929790497,550.6578183412552,556.2080550193787,565.0588844060898,None,574.8590133428573,None,576.2757029533386,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,578.2925050258636,None,578.2592385053634,580.2919878959656,580.6755123376846,None,595.0766763925552,596.0934000015259,604.8771875143051,605.8938460350037,606.2938640117645,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.31010389328,618.3444440364838,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_000.wav,646.7007620334625,660.729866027832,646.7007620334625,660.729866027832,646.6785784006119,None,661.1126940250397,None,662.3040330410004,672.3304369449615,674.1132218837738,None,674.9045808315277,706.9315278530121,674.9045808315277,706.9315278530121,674.8799934625625,None,707.3148880004883,None,709.1362438201904,None,709.1149943113327,711.1327240467072,711.51574447155,714.165843963623,725.91644551754,None,735.7169363737106,736.7337129116058,737.1336739063263,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,3,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,739.1502678394318,None,739.1338048458099,741.1498839855194,741.5332713365555,None,755.9346094369888,None,765.7355413675308,766.7518029212952,767.1517798900604,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.1679739952087,792.2030599117279,769.1679739952087,792.2030599117279,769.1519268035888,None,792.5858008861542,None,794.107274055481,None,794.0858843564987,796.1032328605652,796.503250837326,810.5376029014587,810.8873474836349,None,820.6878323793411,821.704509973526,822.1045348644257,None,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.142942905426,None,,,,,,,,,
