pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,6.313548803329468,None,11.298030853271484,None,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,0,0,0,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,1,0,1,0,0,0,0,0,,,,,15.616107940673828,25.63079285621643,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,2,0,2,0,,,,,,,,,26.249603986740112,36.25111484527588,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,3,0,3,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1745,nibs_stage_1,3.2.3,59.987271148843185,
,,,,,,,,,,,,,,,,,,36.782832860946655,None,,,,,,,,,
