run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_cont.started,Cali_de_pre_rec_cont.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Pause_cont.started,Pause_cont.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_cont.started,Cali_de_post_rec_cont.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_000.wav,314.075031042099,328.1593859195709,314.075031042099,328.1593859195709,314.04189720153806,None,328.0927290916443,None,331.44388699531555,341.4930260181427,341.42630910873413,None,357.293653011322,389.3803291320801,357.293653011322,389.3803291320801,357.2777944087982,389.3137619495392,389.3137619495392,None,394.3287830352783,419.36370301246643,394.29657115936277,None,394.91214218139646,None,409.31358923912046,410.3299870491028,418.3152271747589,None,419.33051013946533,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,424.44722604751587,449.4819860458374,424.43043251037597,None,425.03079333305357,None,439.43102922439573,440.464497089386,448.4317151546478,449.44833612442017,449.44833612442017,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,454.4159450531006,479.4518051147461,454.3984063148498,None,454.99951710700986,None,469.38259329795835,470.4004249572754,478.3997541904449,479.4168860912323,479.4168860912323,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.4339189529419,None,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,496.28418493270874,521.3190660476685,496.2673481941223,None,496.8673433303833,None,511.2684592247009,512.2849979400635,520.268809223175,521.2855150699615,521.2855150699615,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,526.3863019943237,551.420205116272,526.3689103603363,None,526.9690841674804,None,541.3697091579437,542.3863110542297,550.3702253341675,551.3870451450348,551.3870451450348,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,,,556.4206800460815,581.4390740394592,556.3874165534972,None,557.0038012504577,None,571.4044212341308,572.4214379787445,580.3883003234863,581.4049589633942,581.4049589633942,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.439640045166,None,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_000.wav,589.0394051074982,603.1247220039368,589.0394051074982,603.1247220039368,589.0224472522735,None,603.0580539703369,None,612.2585561275482,None,622.258810043335,None,622.3239569664001,None,622.3239569664001,None,622.2920964241027,654.3256981372833,654.3256981372833,None,654.39217710495,679.4286940097809,654.375627708435,None,654.9756182670593,None,669.3766952991485,670.3931739330292,678.3788131713867,679.3953049182892,679.3953049182892,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,684.5441689491272,709.5636529922485,684.5122996330261,None,685.1275061607361,None,699.5113753318786,700.5282530784607,708.5135172843933,None,709.5302939414978,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,714.5459840297699,739.563570022583,714.5137988090515,None,715.1288711071014,None,729.5128442287445,730.5295951366425,738.5133511066437,739.5302839279175,739.5302839279175,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.5140719413757,None,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,753.2145099639893,778.2494311332703,753.1975211143493,None,753.7984591960907,None,768.1979161739349,769.2168989181519,777.1988271713257,778.2157719135284,778.2157719135284,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,783.3347361087799,808.3669319152832,783.3153874397277,None,783.9170292854309,None,798.3165761470794,799.3333420753479,807.3167931079864,808.3336019515991,808.3336019515991,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,,,813.3843071460724,838.4203231334686,813.3518486976624,None,813.9672271251678,None,828.3682772159576,829.384740114212,837.3348032474518,838.3536360263824,838.3536360263824,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.3356831073761,None,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data/rec_cali_de_pre.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.5872740745544,867.6700940132141,844.5872740745544,867.6700940132141,844.5708102226257,None,867.6034080982208,None,870.3229250907898,890.3711409568787,870.3040683746337,None,880.2723721504211,881.2890739440918,889.2712682723999,890.3060240745544,890.3060240745544,None,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.8389739990234,None,,,,,,,,,
