run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,5.2544801235198975,None,10.22098422050476,None,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
0,0,0,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
1,0,1,0,0,0,0,0,,,,,,,,,19.23815417289734,None,24.221873998641968,None,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
1,0,1,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
2,0,2,0,0,0,0,0,,,,,,,,,91.92574715614319,None,96.942458152771,None,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
2,0,2,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1656,nibs_stage_1,3.2.3,59.99156116936447,
