run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,0,0,0,0,66.60439991950989,96.60602688789368,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",66.60439991950989,96.60602688789368,66.59042530059814,None,96.97295880317688,None,,98.05633497238159,None,98.0396938085556,100.03952884674072,In Österreich gibt es eine richtige Kaffeehauskultur.,99.42296600341797,117.02378582954407,100.82294056415557,101.82318997383118,113.6235925912857,114.62355995178223,115.02357888221741,117.02378582954407,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_000.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,120.07392382621765,None,120.05813810825347,122.0575168132782,"Sie haben das Glück, eine so schöne Frau zu haben.",121.45730900764465,139.05804085731506,122.85759351253509,None,135.65783665180206,None,137.05790400505066,139.05804085731506,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_001.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,142.09182000160217,None,142.07581899166107,144.07518696784973,Berlin ist die Hauptstadt von Deutschland.,143.45867896080017,161.05928683280945,144.8584935426712,None,157.65903160572051,None,159.0591778755188,161.05928683280945,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_002.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,164.10936093330383,None,164.09376809597015,166.0928738117218,"Ich habe Hunger, was kochst du heute?",165.49284386634827,183.0938630104065,166.8930635213852,None,179.693723654747,None,181.0938708782196,183.0938630104065,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_003.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,186.12718081474304,None,186.11174294948577,188.12738490104675,"Aus den Augen, aus dem Sinn.",187.4938609600067,205.09509181976318,188.89403054714202,None,201.69489858150482,202.69494891166687,203.09496188163757,205.09509181976318,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_004.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,208.1450159549713,None,208.12955210208892,210.14512181282043,Ein Gewitter besteht aus Blitz und Donner.,209.51176500320435,227.11267185211182,210.91182754039764,None,223.71251747608184,None,225.11249899864197,227.11267185211182,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_005.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,230.16295790672302,None,230.14712092876434,232.146381855011,In der Pause werden kleine Brötchen serviert.,231.54624199867249,249.1472828388214,232.94624350070953,None,245.74702069759368,None,247.13055181503296,249.13052582740784,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_006.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,252.18067479133606,None,252.16499898433685,254.1641149520874,Eine Woche hat sieben Tage.,253.54742288589478,271.1483678817749,254.94751069545745,None,267.74818060398104,None,269.1483418941498,271.1483678817749,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_007.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,274.1991629600525,None,274.1828210115433,276.18194580078125,Schwarzfahren ist ein strafbares Vergehen.,275.5652458667755,293.16616678237915,276.965322470665,None,289.76600167751315,None,291.1660969257355,293.16616678237915,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_008.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,296.21640491485596,None,296.2006499528885,298.1997787952423,Im Sommer sind die Tage länger als im Winter.,297.59966588020325,315.20089387893677,298.9998135328293,None,311.784028506279,None,313.1841068267822,315.18421697616577,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1309/rec_cali_de_post_trial_009.wav,,,,05,00,English,B1,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_06_1309,nibs_stage_1,3.2.3,59.9951652608256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.21784496307373,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
