artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,288.8906559944153,None,288.87457218170164,290.8740179538727,290.2573031425476,None,293.6574999332428,None,295.05750312805174,305.0581030845642,305.458128118515,306.4582431316376,306.8581199645996,307.8582589626312,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
11,0,11,0,,,,,,,,,,,,,,,,,,,,310.9084930419922,None,310.89238514900205,312.89184308052063,312.27516212463377,None,315.67525401115415,None,317.0754081249237,327.07604002952576,327.4759711265564,None,328.8760371208191,329.87609815597534,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
12,0,12,0,,,,,,,,,,,,,,,,,,,,332.92630195617676,None,332.9102572441101,334.9102051258087,334.293306016922,337.2933909893036,337.6935569286346,None,339.09363594055174,349.0940029621124,349.49398293495176,350.4940800666809,350.89415311813354,351.8943610191345,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
13,0,13,0,,,,,,,,,,,,,,,,,,,,354.94453406333923,None,354.92829313278196,356.9277391433716,356.31105103492735,None,359.71123614311216,None,361.1113080024719,371.11174511909485,371.5119539737701,372.511892080307,372.9119131565094,373.91196393966675,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
14,0,14,0,,,,,,,,,,,,,,,,,,,,376.96219301223755,None,376.94604125022886,378.9455211162567,378.3288821220398,None,381.7290729522705,None,383.1291350364685,393.1296670436859,393.52961506843565,394.5298640727997,394.92974305152893,395.92986702919006,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.98010301589966,None,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",399.98010301589966,None,399.9643947124481,None,429.3813660144806,None,,431.59829807281494,None,431.58239712715147,433.5818040370941,"Findest du nicht auch, er hat sich total verändert?",432.98178005218506,450.5827159881592,434.38184394836424,None,447.18254508972166,448.18330812454224,448.5826301574707,450.5827159881592,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_000.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.6159920692444,None,453.60028924942014,455.599641084671,Howard Carter hat viele Schätze im Grab von Tutanchamun gefunden.,454.9993040561676,472.60057306289673,456.3996960163116,None,469.2003940582275,470.2003290653229,470.60037899017334,472.60057306289673,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_001.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.6338460445404,None,475.6181122303009,477.61739897727966,Die Zähne werden geputzt und der Bart rasiert.,477.0172309875488,494.635057926178,478.41730704307554,479.417582988739,491.2182139396667,492.21825098991394,492.61827301979065,494.635057926178,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_002.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.6518909931183,None,497.6359590530395,499.63533210754395,Kennst du die Zyklen des Mondes?,499.0350561141968,516.6359920501709,500.43537201881406,None,513.2526940345764,None,514.6360330581665,516.6359920501709,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_003.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.6694419384003,None,519.6537372112274,521.6531720161438,Einige NGOs schützen die Rechte der Menschen.,521.0531370639801,538.6541111469269,522.4531990528106,523.4533889293671,535.2539049625397,None,536.6373369693756,538.6374099254608,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_004.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.6873681545258,None,541.6715971469879,543.6710081100464,Das Jahr hat 52 Wochen.,543.0707631111145,560.6716041564941,544.4711081027984,None,557.2548431396484,None,558.6549019813538,560.6551189422607,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_005.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.705304145813,None,563.6891612052917,565.6887230873108,Felix muss schon um sechs Uhr früh aufstehen.,565.0718939304352,582.6728639602661,566.4721039772033,None,579.2726849555969,None,580.6727600097656,582.6728639602661,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_006.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.7229480743408,None,585.7070511817932,587.7064409255981,Dieser Supermarkt hat nur am Tage geöffnet.,587.1233191490173,604.7240190505981,588.5064989566803,589.5067069530487,601.3072020053863,None,602.7239620685577,604.7240190505981,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_007.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.7408020496368,None,607.7249912261963,609.72429895401,Jetzt liest er seiner Mutter eine Geschichte vor.,609.141016960144,626.741956949234,610.5243369579315,611.5243721008301,623.3251780509949,None,624.7419540882111,626.741956949234,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_008.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.7586560249329,None,629.7427271842956,631.7423839569092,Simon malt riesige Bilder.,631.1422431468964,648.7432661056519,632.5257791519165,633.5258939266205,645.3264259338379,646.3263990879059,646.726480960846,648.7266309261322,./data/Subject_05/Session_00/Exp_data/2020_Jul_06_1055/rec_cali_de_pre_trial_009.wav,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
