run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,0,0,0,0,78.71471810340881,108.71633505821228,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",78.71471810340881,108.71633505821228,78.70479283332824,None,109.0830659866333,None,,110.44950103759766,None,110.45088694095611,112.46650099754333,Ihre Kinder liegen noch im Bett.,111.8331229686737,129.4340901374817,113.23328540325164,None,126.03387138843536,None,127.43390703201294,129.4340901374817,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_000.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,132.46740913391113,132.46740913391113,132.45389411449432,134.46739196777344,Schwarzfahren ist ein strafbares Vergehen.,133.85070514678955,151.45158314704895,135.25080845355987,136.25075912475586,148.05140254497528,149.0515100955963,149.45153212547302,151.45158314704895,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_001.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,154.48529505729675,None,154.47135922908782,156.48523712158203,Im Weltraum hört man keinen Ton.,155.85195302963257,173.45280599594116,157.25188252925872,None,170.05260655879974,None,171.4526801109314,173.45280599594116,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_002.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,176.50301718711853,None,176.4891702890396,178.50306105613708,"Findest du nicht auch, er hat sich total verändert?",177.8864619731903,195.48736310005188,179.28661844730377,None,192.08711144924163,None,193.48714995384216,195.48736310005188,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_003.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,198.52082800865173,None,198.50696609020233,200.52082705497742,Im Herbst fallen die Blätter von den Bäumen.,199.88748502731323,217.4884810447693,201.28759548664092,None,214.08836648464202,None,215.48829817771912,217.4884810447693,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_004.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,220.53865313529968,None,220.52476308345794,222.53865218162537,Howard Carter hat viele Schätze im Grab von Tutanchamun gefunden.,221.921884059906,239.5230929851532,223.32205746173858,224.3220820426941,236.1228945016861,237.1229989528656,237.52296805381775,239.5230929851532,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_005.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,242.5566201210022,None,242.5427341222763,244.55670595169067,Hier fehlen aber noch ein paar Cent.,243.92331910133362,261.5243401527405,245.3234364748001,None,258.1240653753281,259.12401700019836,259.52407217025757,261.5243401527405,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_006.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,264.5744140148163,None,264.56079909801485,266.57473516464233,"Aus den Augen, aus dem Sinn.",265.9576871395111,283.5587179660797,267.3412124872208,None,280.15846440792086,281.15861201286316,281.54186511039734,283.5420501232147,./data/Subject_03/Session_01/Exp_data/2020_Jul_08_1310/rec_cali_de_post_trial_007.wav,,,,03,01,English,A2,True,False,True,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_08_1310,nibs_stage_1,3.2.3,59.997396582084185,
