artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,290.8724100589752,None,290.85701539516447,292.87258410453796,292.2390930891037,None,295.6393442392349,None,297.0395272016525,307.03995299339294,307.4399740934372,None,308.8399410247803,309.84008407592773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,312.8902950286865,None,312.8748963117599,314.89044404029846,314.2569952249527,None,317.65708615779874,None,319.05723621845243,329.05777502059937,329.4578371286392,330.45781207084656,330.85785698890686,331.85789608955383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,334.9081530570984,None,334.89278438091276,336.90808606147766,336.2748100996017,339.2751729488373,339.67526104450224,None,341.07528402805326,351.07583594322205,351.47600915431974,352.4758689403534,352.87589597702026,353.8759500980377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,356.9260530471802,None,356.9107353925705,358.9262089729309,358.2927601575851,None,361.69322803020475,None,363.0931091547012,373.0936689376831,373.49366118907926,None,374.8937289714813,375.8938219547272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,378.9439151287079,None,378.92854430675504,380.9440369606018,380.310600066185,None,383.7110522031784,None,385.11093904972074,395.1114571094513,395.51148107051847,396.5115110874176,396.9115340709686,397.9119839668274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.9618260860443,None,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",401.9618260860443,None,401.9470525026321,None,431.34662795066833,None,,433.3968460559845,None,433.38135843276973,435.39692306518555,Schwarzfahren ist ein strafbares Vergehen.,434.76351594924927,452.3644859790802,436.16364123821256,None,448.96431519985197,None,450.3643591403961,452.3644859790802,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_000.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.41460609436035,None,455.3992693662643,457.41441011428833,Er verkauft Herren- und Damenschuhe.,456.7977170944214,474.4321320056915,458.1980922460556,None,471.01523711681364,None,472.4319610595703,474.46567392349243,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_001.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.4489290714264,None,477.41682341098783,479.4489870071411,Lisa kann schon mit großen Zahlen rechnen.,478.848993062973,496.46647691726685,480.232374215126,481.2491579055786,493.0163860559463,None,494.43314504623413,496.46647691726685,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_002.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.48406505584717,None,499.45143535137174,501.48348808288574,Die Ärztin hat Andrea ein Rezept ausgestellt.,500.88337898254395,518.5177021026611,502.26687505245206,None,515.06821205616,None,516.484277009964,518.5177021026611,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_003.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.5012969970703,None,521.469243311882,523.5013151168823,Entweder hat mir jemand die Geldtasche gestohlen oder ich habe sie verloren.,522.901251077652,540.5355410575867,524.2847020864486,525.3015999794006,537.0854780912399,538.1024539470673,538.5021090507507,540.5355410575867,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_004.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.5191309452057,None,543.4869904756546,545.5190620422363,"Im Kaffeehaus sitzen und Zeitung lesen, das gefällt den Österreichern.",544.9192199707031,562.5534229278564,546.3025272130966,None,559.1031961679458,None,560.5199809074402,562.5534229278564,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_005.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.5369889736176,None,565.5047884225845,567.5369930267334,Herr Becker fährt mit dem Zug nach Baden.,566.93701004982,584.5713129043579,568.3203690290451,569.3370699882507,581.0876932382583,None,582.5044419765472,584.5377819538116,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_006.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.5553340911865,None,587.5226502656936,589.5547230243683,Mama hat einen Kuchen gebacken.,588.9214301109314,606.5557041168213,590.3048091173172,None,603.1055422067642,604.1222460269928,604.5224089622498,606.5557041168213,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_007.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.5726039409637,None,609.5404894590378,611.5726130008698,Können Sie mir auf Hundert Euro herausgeben?,610.9725871086121,628.6068711280823,612.3560161828995,None,625.1566810846329,626.1734330654144,626.5735011100769,628.6068711280823,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_008.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.5910561084747,None,631.5583493947983,633.5905549526215,"Ja, das Wasser aus der Leitung kann man trinken.",632.9904930591583,650.6246769428253,634.3741271734237,None,647.1744890451431,None,648.5912210941315,650.6246769428253,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1018/rec_cali_de_pre_trial_009.wav,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.6084730625153,None,Please remain seated until further instruction via the earphone.,698.6940059661865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
