run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,305.9249699115753,None,305.90920958518984,307.9083471298218,307.2916098594666,None,310.6917048454285,None,312.0919188022614,322.09240102767944,322.492434835434,None,323.89264011383057,324.8925840854645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,327.94264006614685,None,327.9271155357361,329.926146030426,329.30937180519106,None,332.7096527576447,None,334.1097167491913,344.1101870536804,344.51028881073,345.510311126709,345.9103569984436,346.9105670452118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,349.96162700653076,None,349.94486556053164,351.9439699649811,351.3272918224335,354.32742404937744,354.7274998188019,None,356.12752590179446,366.12798595428467,366.5281089305878,None,367.9283809661865,368.92826104164124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,371.9789741039276,None,371.9626976013184,373.9620099067688,373.34513077735903,None,376.7453058719635,None,378.14540181159975,388.14598989486694,388.54596481323244,None,389.9459009170532,390.94602704048157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,393.9964060783386,None,393.98060259819033,395.9796679019928,395.36295971870425,None,398.76306376457217,None,400.1632107257843,410.16376209259033,410.5637749195099,411.56383895874023,411.9638469219208,412.9639139175415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.4584579467773,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",623.4584579467773,None,623.4426743507386,None,"Please keep relaxed and close your eyes.
",646.4927470684052,826.5021800994873,829.8526129722595,None,845.603296995163,885.6219520568848," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",845.603296995163,885.6219520568848,845.588009929657,None,884.9885981082916,None,Listen to the question and speak out your answer!,889.5731089115143,None,889.5570086956025,891.5724120140076,Die Meere sollte man nicht so leer fischen.,fischen,890.9557898998261,893.2559199333191,893.6725958347321,None,906.1567197799683,907.1566870212555,907.5566771030426,908.5566689968109,./data/Subject_10/Session_02/Exp_data/2020_Aug_11_1207/rec_QA_run_02_block_000_trial_000.wav,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,910.6070909500122,None,910.5911173343659,912.5903129577637,Charles Darwin hat die Natur erforscht.,erforscht,911.9905358314514,914.3736879825592,914.7904218196869,915.7909140586853,927.1912299156189,None,928.5911478996277,929.5911819934845,./data/Subject_10/Session_02/Exp_data/2020_Aug_11_1207/rec_QA_run_02_block_000_trial_001.wav,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,931.64191198349,None,931.6256303310395,933.6248691082001,Wir müssen die Kunden jeden Monat über ihren finanziellen Status informieren.,informieren,933.0247078895569,937.6749110221863,938.0753558635712,None,948.225611782074,949.2255389690399,949.6255760192871,950.6256330013275,./data/Subject_10/Session_02/Exp_data/2020_Aug_11_1207/rec_QA_run_02_block_000_trial_002.wav,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,952.6756360530853,None,952.6600813388825,954.6591470241547,Plastikabfälle werden die Meere verschmutzen.,verschmutzen,954.0592008590698,956.8261079788208,957.2425879001618,None,969.2601948738098,None,970.6599841117859,971.6601529121399,./data/Subject_10/Session_02/Exp_data/2020_Aug_11_1207/rec_QA_run_02_block_000_trial_003.wav,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,973.7269220352173,None,973.7112770557404,975.7269310951233,Der Mond umkreist die Erde in ungefähr achtundzwanzig Tagen.,umkreist,975.093558883667,978.843759059906,979.2444337368012,None,990.2943557262421,None,991.6944320201874,992.6945440769196,./data/Subject_10/Session_02/Exp_data/2020_Aug_11_1207/rec_QA_run_02_block_000_trial_004.wav,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
