run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_cont.started,Cali_de_pre_rec_cont.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.1688621044158936,None,10.153470039367676,None,11.502665042877197,34.52157711982727,11.502665042877197,34.52157711982727,11.485879516601562,None,34.488362073898315,None,35.789129972457886,55.82371115684509,35.78755650520325,None,45.77267966270447,None,54.77314863204956,55.78991103172302,55.78991103172302,None,data/rec_cali_de_pre.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1326,nibs_stage_1,3.2.3,59.99121794514219,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_000.wav,59.40520000457764,73.43932104110718,59.40520000457764,73.43932104110718,59.38829760551453,None,73.39051103591919,None,75.3059720993042,85.35649609565735,85.30684494972229,None,86.75851702690125,118.80943894386292,86.75851702690125,118.80943894386292,86.75794811248778,None,118.7601261138916,None,121.1750659942627,146.17712306976318,121.15813355445862,None,121.7432704925537,None,136.14465746879577,None,145.14654264450073,None,146.16014099121094,None,001,001,,,2020_Jan_02_1326,nibs_stage_1,3.2.3,59.99121794514219,
