run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,6.535290956497192,None,11.518687963485718,None,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
0,0,0,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
1,0,1,0,0,0,0,0,,,,,,,,,15.351958990097046,None,20.335690021514893,None,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
1,0,1,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
2,0,2,0,0,0,0,0,,,,,,,,,132.30849885940552,None,137.3255660533905,None,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
2,0,2,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1651,nibs_stage_1,3.2.3,60.03483886666333,
,,,,,,,,,,,,,,,,173.72738003730774,None,178.74425292015076,None,,,,,,,,,
