artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,290.48481488227844,None,290.4681244850159,292.46817994117737,291.8514696121216,None,295.25172648429873,None,296.65183267593386,306.6522858142853,307.0522716999054,None,308.45231795310974,309.45248079299927,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
11,0,11,0,,,,,,,,,,,,,,,,,,,,312.5025498867035,None,312.4858895301819,314.4859628677368,313.86926755905154,None,317.2693725585938,None,318.66958651542666,328.6702950000763,329.07027969360354,330.0870249271393,330.4704248905182,331.4704089164734,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
12,0,12,0,,,,,,,,,,,,,,,,,,,,334.52060294151306,None,334.50407848358157,336.5039827823639,335.88737449646,338.88745498657227,339.2874716281891,None,340.68756160736086,350.68805384635925,351.0881296157837,352.0881299972534,352.48822593688965,353.488196849823,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
13,0,13,0,,,,,,,,,,,,,,,,,,,,356.538715839386,None,356.5219176769257,358.521714925766,357.90512762069704,None,361.3054045200348,None,362.70538053512576,372.70589780807495,373.1057845115662,374.1059467792511,374.5059700012207,375.50620579719543,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
14,0,14,0,,,,,,,,,,,,,,,,,,,,378.55641293525696,None,378.5395425319672,380.53964400291443,379.9229606151581,None,383.3230784893036,None,384.72318468093874,394.7237207889557,395.1237586498261,None,396.52381777763367,397.52379989624023,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.59110498428345,431.6087689399719,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",401.59110498428345,431.6087689399719,401.5739425182343,None,430.99202489852905,None,,435.57592487335205,None,435.55885968208315,437.5592339038849,In Österreich darf ein Präsident 6 Jahre regieren.,436.9591839313507,454.56014490127563,438.35936365127566,None,451.15994057655337,None,452.5601408481598,454.56014490127563,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_000.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.59393191337585,None,457.57701954841616,459.57706689834595,"Ich sitze weit entfernt von der Bühne, also schaue ich durch ein Fernglas.",458.97702193260193,476.5779638290405,460.3770955562592,None,473.17779359817507,None,474.5778868198395,476.5779638290405,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_001.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.61180877685547,None,479.5949545860291,481.59480690956116,"Ich glaube, es geht um eine Puppe.",480.9949629306793,498.61283898353577,482.3947096824646,None,495.19536051750185,496.2120978832245,496.6122169494629,498.64578580856323,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_002.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.6462969779968,None,501.6290634632111,503.64587783813477,"Im Kaffeehaus sitzen und Zeitung lesen, das gefällt den Österreichern.",503.04586482048035,520.6801519393921,504.42916855812075,505.446005821228,517.2298475265503,518.2466189861298,518.6467039585114,520.6801519393921,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_003.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.6806938648224,None,523.6637514591217,525.6804058551788,In Österreich gibt es eine richtige Kaffeehauskultur.,525.080249786377,542.7145838737488,526.4637595176697,None,539.2644225120545,540.2810637950897,540.6810898780823,542.7145838737488,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_004.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.7152798175812,None,545.6981614589691,547.7148728370667,"Ich kann dir gerne mein Fahrrad leihen, wenn du möchtest.",547.1147589683533,564.7491159439087,548.4981776237488,None,561.2989305019379,None,562.7157618999481,564.7491159439087,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_005.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.7496919631958,None,567.73263463974,569.7493619918823,In der Pause werden kleine Brötchen serviert.,569.1493349075317,586.7835829257965,570.5327256679535,None,583.3334196567536,None,584.7500848770142,586.7835829257965,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_006.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.7836689949036,None,589.7671025753021,591.7838628292084,Für mich ist die schönste aller Blumen die Rose.,591.1838238239288,608.8179907798767,592.5672014713288,593.5839478969574,605.3679476737976,606.3846287727356,606.7846438884735,608.8179907798767,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_007.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.8181757926941,None,611.8015135288239,613.8183388710022,Eine Woche hat sieben Tage.,613.2182228565216,630.852597951889,614.6015556812287,None,627.4023095130921,628.4194128513336,628.8190639019012,630.852597951889,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_008.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.8695027828217,None,633.8361326217652,635.8693828582764,Der Ton macht die Musik.,635.2697668075562,652.9036037921906,636.6528826713562,None,649.4536856174469,None,650.8704259395599,652.9036037921906,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1022/rec_cali_de_pre_trial_009.wav,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
