artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.4816539287567,None,269.4620513677597,271.4654629230499,270.8489300966263,None,274.24904320240023,275.24903988838196,275.6490282773972,285.6496319770813,286.0496661424637,None,287.4496338367462,288.44932794570923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.5161409378052,None,290.49652836322787,292.4995219707489,291.88313910961153,None,295.2832562685013,None,296.6834132432938,306.6839098930359,307.0838961362839,None,308.4841649532318,309.48377299308777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.5340909957886,None,311.5134823083878,313.5177438259125,312.90072724819186,315.9008479118347,316.3011402845383,None,317.7011921167374,327.7017538547516,328.10170409679415,329.10144877433777,329.50184392929077,330.50178480148315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.5517067909241,None,332.53168127536776,334.53468894958496,333.9181451559067,None,337.319034075737,338.31831789016724,338.7182202100754,348.71946692466736,349.1194700956345,None,350.5358488559723,351.536328792572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5693018436432,None,353.54944226741793,355.55316376686096,354.93666718006136,None,358.3362152338028,None,359.73627922534945,369.736909866333,370.13719913959505,None,371.5372838973999,372.536673784256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.5873558521271,None,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",375.5873558521271,None,375.58140368461613,None,404.9884479045868,None,,407.038626909256,None,407.01819868087773,409.0219798088074,Meine Rosen haben einen sehr dünnen Stamm.,408.40526700019836,426.0229318141937,409.8053042650223,None,422.6059932470322,None,424.02281498908997,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.05681586265564,None,428.03604528903963,430.056382894516,"Aus den Augen, aus dem Sinn.",429.4563558101654,None,430.8397392988205,431.8567588329315,443.6403882265091,None,445.0572397708893,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.0912539958954,None,449.070574259758,451.09090185165405,Ihre Kinder liegen noch im Bett.,450.4907829761505,None,451.87416718006136,None,464.6914801359177,None,466.10842394828796,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.1090188026428,None,470.0881423711777,472.1087419986725,Kannst du bitte die Wäsche in die Sonne hängen?,471.5085988044739,None,472.8919892072678,None,485.6926553010941,486.70943880081177,487.1094539165497,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.1434419155121,None,491.12258026599886,493.14297795295715,Leni bewegt beim Lesen die Lippen.,492.5429527759552,None,493.9266822099686,None,506.7269761323929,None,508.1437318325043,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.1777489185333,None,512.1569604635239,514.1774668693542,Die Zähne werden geputzt und der Bart rasiert.,513.5773558616638,None,514.9607190847397,515.977472782135,527.7614292860031,528.7780859470367,529.1781368255615,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_005.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.2294647693634,None,533.1913683176041,535.2284638881683,"Ich kann dir gerne mein Fahrrad leihen, wenn du möchtest.",534.6284577846527,None,536.0119111299515,None,548.8124882936478,None,550.2292399406433,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1020/rec_cali_de_pre_trial_006.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
