artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,285.81178283691406,None,285.8091164112091,287.81144285202026,287.194935131073,None,290.59490327835084,291.594997882843,291.99499015808107,301.99549198150635,302.3954411029816,None,303.79562401771545,304.79568696022034,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
11,0,11,0,,,,,,,,,,,,,,,,,,,,307.82914185523987,307.82914185523987,307.81023745536805,309.8125309944153,309.2125421047211,None,312.61276416778566,None,314.0130861282349,324.013356924057,324.41378622055055,None,325.8134789466858,326.8138699531555,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
12,0,12,0,,,,,,,,,,,,,,,,,,,,329.83056902885437,None,329.8281434059143,331.83042097091675,331.2137332439423,334.21388697624207,334.6138771057129,None,336.01385312080384,346.0145308971405,346.41467623710633,None,347.81457901000977,348.81462502479553,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
13,0,13,0,,,,,,,,,,,,,,,,,,,,351.84796690940857,351.84796690940857,351.8291523933411,353.83130979537964,353.2313552379608,None,356.63152413368226,None,358.03162531852723,368.03212881088257,368.43214015960694,None,369.83220982551575,370.8322899341583,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
14,0,14,0,,,,,,,,,,,,,,,,,,,,373.8496298789978,None,373.84699754714967,375.84937381744385,375.2326651096344,None,378.63294916152955,379.6328740119934,380.0329022884369,390.03347992897034,390.4333782672882,None,391.83376598358154,392.8333339691162,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.8669228553772,426.88511991500854,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",396.8669228553772,426.88511991500854,396.86366233825686,None,426.25181698799133,None,,430.1520628929138,None,430.13317947387696,432.1354138851166,"In der Schule lernen die Kinder lesen, schreiben und rechnen.",431.5355110168457,449.1365978717804,432.93533329963685,None,445.736074256897,None,447.136314868927,449.1365978717804,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_000.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.1698019504547,None,452.1508985042572,454.15322494506836,Er verkauft Herren- und Damenschuhe.,453.55317783355713,471.154168844223,454.9532542705536,None,467.75393013954164,None,469.15395998954773,471.154168844223,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_001.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.18767499923706,None,474.168878364563,476.1711850166321,"Flo muss die Orange zuerst schälen, bevor er sie schneiden kann.",475.5710217952728,493.17190885543823,476.9710591316223,None,489.77171711921693,None,491.1720108985901,493.17190885543823,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_002.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.2054159641266,None,496.18672852516175,498.1888380050659,Sonja nimmt ihren Tee mit Milch und Zucker.,497.58880591392517,515.1903369426727,498.9888542175293,None,511.7900231361389,None,513.189829826355,515.1903369426727,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_003.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.2236728668213,None,518.2045314788818,520.2068707942963,Halloween wurde schon von den Kelten gefeiert.,519.6068389415741,537.2077288627625,521.006882238388,None,533.8075452327728,None,535.2076008319855,537.2077288627625,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_004.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.2412469387054,None,540.2223353862762,542.2248539924622,Zu Weihnachten hat die Familie einen großen Weihnachtsbaum.,541.6415069103241,559.242173910141,543.0249162197113,None,555.8253212451934,None,557.2256109714508,559.2255029678345,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_005.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.2589428424835,None,562.2402105808258,564.2424228191376,Mama hat einen Kuchen gebacken.,563.6427488327026,581.2434749603271,565.0424120903015,None,577.8429861545562,None,579.2433748245239,581.2434749603271,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_006.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.2765338420868,None,584.2580755233764,586.2598898410797,Im Weltraum hört man keinen Ton.,585.6598558425903,603.26118683815,587.0599072456359,None,599.86090426445,None,601.2608969211578,603.26118683815,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_007.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.2944138050079,None,606.2759013652801,608.2776908874512,"In Europa gibt es vier Jahrezeiten, am Zentralafrika nur eine.",607.6777188777924,625.2954909801483,609.07770113945,None,621.8786342620849,None,623.2786388397217,625.2954909801483,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_008.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.3120319843292,None,628.293539571762,630.295539855957,Ihre Kinder liegen noch im Bett.,629.6954889297485,647.2965278625488,631.0955791950225,None,643.8963401794433,None,645.3131718635559,647.313295841217,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1027/rec_cali_de_pre_trial_009.wav,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
