run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,,,,319.0741620063782,None,319.0600047826767,321.07439613342285,320.44107205867766,None,323.84125621318816,324.84132409095764,325.2413552522659,335.24181604385376,335.641779255867,None,337.0420060157776,338.041944026947,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
2,0,2,0,12,0,12,0,,,,,,,,,,,,,,,,,,,341.0919051170349,None,341.0775848150253,343.0919680595398,342.45886118412017,345.45900416374207,345.85913808345794,None,347.2591710805893,357.27634501457214,357.65934212207793,None,359.05949115753174,360.05977296829224,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
2,0,2,0,13,0,13,0,,,,,,,,,,,,,,,,,,,363.1103370189667,None,363.0951538801193,365.1098051071167,364.4764562368393,None,367.8767290830612,None,369.27663309574126,379.2772150039673,379.67724425792693,None,381.0773980617523,382.07742714881897,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,,,,385.12755608558655,None,385.11296875476836,387.1276080608368,386.4943171262741,None,389.89445025920867,None,391.29459912776946,401.29501605033875,401.69507105350493,None,403.0950381755829,404.0951659679413,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
2,0,2,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
3,0,3,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,True,False,False,False,True,False,False,False,False,True,No,2,No,No,No,No,2020_Jul_13_1936,nibs_stage_1,3.2.3,60.00022888270905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.2132501602173,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
