artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0524411201477,None,276.03540482521055,278.03580713272095,277.418967628479,None,280.81914963722227,None,282.2192195892334,292.2198359966278,292.61981263160703,None,294.0199201107025,295.01996302604675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.070081949234,None,297.0531739234924,299.0534360408783,298.4368065834045,None,301.8371836185455,None,303.2370747566223,313.23750400543213,313.6376146316528,314.63748693466187,315.0375199317932,316.03766202926636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.08785796165466,None,318.07093992233274,320.07117795944214,319.45447459220884,322.4546649456024,322.8545817375183,None,324.2547396659851,334.2553050518036,334.65521874427793,None,336.05537605285645,337.05544209480286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.10583209991455,None,339.08887591362,341.08895897865295,340.4722587108612,None,343.87242474555967,None,345.2725616931915,355.2730600833893,355.6730526924133,None,357.0731451511383,358.07321095466614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.123398065567,None,360.10648384094236,362.1067590713501,361.48997869491575,None,364.89014472961424,None,366.29030361175535,376.2908339500427,376.6908616065979,None,378.0908570289612,379.09096908569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.1411499977112,412.17606592178345,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",382.1411499977112,412.17606592178345,382.1241928577423,None,411.54270005226135,None,,424.4102370738983,None,424.39313473701475,426.39346504211426,Zu Weihnachten hat die Familie einen großen Weihnachtsbaum.,425.7936279773712,443.3946349620819,427.1935056686401,None,439.9945127010345,None,441.3945710659027,443.3946349620819,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.4279510974884,None,445.41117277145383,447.4115979671478,Herr Becker fährt mit dem Zug nach Baden.,446.8114719390869,464.412672996521,448.21196856498716,None,461.01271357536314,462.0125811100006,462.4125680923462,464.412672996521,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.4456751346588,None,466.4292108058929,468.42902994155884,"Ich möchte dich nicht täuschen, also werde ich dir die Wahrheit sagen.",467.829185962677,485.42991399765015,469.2290576934814,None,482.02972569465635,None,483.42981910705566,485.42991399765015,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.46355509757996,None,487.4464518070221,489.4468729496002,Jede Münze hat zwei Seiten.,488.84683895111084,506.44758701324463,490.2471126556396,None,503.0474106311798,None,504.4474880695343,506.44758701324463,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.4811329841614,None,508.46412482261655,510.46456694602966,Im Herbst fallen die Blätter von den Bäumen.,509.86454010009766,527.4654440879822,511.26452174186704,None,524.0652956008911,525.065808057785,525.4652609825134,527.4654440879822,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.4989080429077,None,529.4819818973541,531.4823939800262,Howard Carter hat viele Schätze im Grab von Tutanchamun gefunden.,530.8823051452637,548.4833221435547,532.2991596698761,None,545.0833395957947,546.0831010341644,546.4831209182739,548.4833221435547,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_005.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.5167651176453,None,550.4998599529266,552.5002310276031,Mama hat einen Kuchen gebacken.,551.9169969558716,None,553.3002485275268,None,566.1176156044006,None,567.5342509746552,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_006.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.5348739624023,None,571.5176619529724,573.534637928009,Ihre Kinder liegen noch im Bett.,572.9346089363098,None,574.3180176258087,None,587.1186815738678,None,588.5353500843048,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_007.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.5691430568695,None,592.5520688533783,594.5690829753876,Der frühe Vogel fängt den Wurm.,593.9690799713135,None,595.352440738678,None,608.1531125545501,None,609.5698659420013,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_008.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.6038069725037,None,613.5865608692169,615.6035060882568,Großbritanien tritt aus der EU aus.,615.0034739971161,None,616.3868776798248,None,629.1875707149505,630.2042109966278,630.604238986969,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_cali_de_pre_trial_009.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_000.wav,1140.8479180335999,None,Please remain seated until further instruction via the earphone.,724.8092579841614,None,934.3370630741119,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",934.3370630741119,None,934.3034804344177,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",957.4048569202423,1137.4476420879364,1167.0660800933838,1207.1013140678406," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",1167.0660800933838,1207.1013140678406,1167.0488509178163,None,1206.484619140625,None,Listen to the question and speak out your answer!,1213.901782989502,None,1213.8679958820344,1215.9020550251007,"Wenn genug Schnee liegt, fahren sie gerne Schi.",fahren,1215.285187625885,1218.135337114334,1218.5187057495118,None,1230.4859966278077,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1232.9032621383667,None,1232.8857997894288,1234.9028899669647,Der Ton macht die Musik.,macht,1234.2862206935883,1235.936371088028,1236.319650554657,None,1249.4702567100526,1250.486881017685,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1252.8876221179962,None,1252.8701948165894,1254.887284040451,Du muss deine schmutzige Kleidung in der Wäscherei waschen.,waschen,1254.270588541031,None,1257.8374375343324,None,1269.4713105201722,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1272.9221649169922,None,1272.8879273414614,1274.9216010570526,Die friedlichen Pandas kommen aus China.,kommen,1274.304903650284,1276.821604013443,1277.205042743683,None,1289.5057035923005,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1292.9238860607147,None,1292.8889945030214,1294.9227600097656,"Wenn sie sich etwas leiht, bringt sie es immer zurück.",leiht,1294.3060246944428,None,1297.4728466510774,None,1309.5070675849915,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_005.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1312.9245381355286,None,1312.8900444984438,1314.9240310192108,"Ich berichtete der Polizei alles, was ich gesehen hatte.",berichtete,1314.3076585769654,None,1318.1408316135407,None,1329.5081075668336,1330.5248260498047,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_006.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1332.908252954483,None,1332.8913703441622,1334.9083969593048,Ich nahm meinen Stift und begann zu schreiben.,begann,1334.2916745185853,1336.9084830284119,1337.2918347358705,None,1349.49250164032,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_007.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1352.9265959262848,None,1352.909104394913,1354.9261090755463,Am nächsten Bahnhof muss ich aus dem Zug aussteigen.,aussteigen,1354.3094445705415,1357.426990032196,1357.8097046852113,None,1369.5100325584413,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_008.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1372.9268181324005,None,1372.893484401703,1374.9271681308746,Das Geheimnis darfst du niemand sagen.,sagen,1374.3102165699006,1376.6613540649414,1377.0437995433808,None,1389.5110615730287,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_009.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1392.8953249454498,None,1392.8776248931886,1394.8947041034698,"Thomas hat schon so kurze Haare, er muss sich nicht kämmen.",kämmen,1394.277992630005,1397.6948909759521,1398.078124666214,None,1409.4788147449494,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_010.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1412.9132339954376,None,1412.8953414440157,1414.9123561382294,Können Sie die Kleidung des Täters beschreiben?,beschreiben,1414.2957195281983,None,1417.1625846862794,None,1429.4964467525483,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_011.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1432.947212934494,None,1432.9130845546724,1434.9468290805817,Die Mutter rührt in ihren Töpfen und Pfannen.,rührt,1434.3300575256349,None,1437.363631629944,1438.3802599906921,1449.530839586258,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_012.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1452.931813955307,None,1452.9141104698183,1454.9312040805817,Manche Menschen kann mehr Fleisch als Gemüse essen.,essen,1454.3144186973573,1457.3313291072845,1457.7147006034852,None,1469.5153385639192,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_013.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1472.915936946869,None,1472.898632335663,1474.9157040119171,Sie hat den Kuchen in einer runden Form gebacken.,gebacken,1474.298916721344,None,1477.5324317455293,1478.54904794693,1489.4997066497804,1490.5167050361633,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
,,,,,,,,0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1436/rec_QA_run_00_block_000_trial_014.wav,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1492.9337050914764,None,1492.9162383556368,1494.9332790374756,Rauchen schadet deiner Lunge.,schadet,1494.3166245460511,1496.2334070205688,1496.616748714447,None,1509.517354631424,None,None,None,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
