run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,0,1,0,10,0,10,0,,,Listen to the question and speak out your answer!,271.58809185028076,None,271.5712041378021,273.5878338813782,Herr Müller hat einen Flug auf die Mittelmeerinsel Mallorca gebucht.,gebucht,272.9711724758148,276.95496892929077,277.3380326271057,None,288.1719075679779,None,289.58857679367065,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_010.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,11,0,11,0,,,Listen to the question and speak out your answer!,292.65551590919495,None,292.6389362335205,294.6556248664856,"Die Tür bewegt sich nur, wenn man mit viel Kraft dagegen drückt.",drückt,294.03890051841734,297.6893320083618,298.07242860794065,None,309.2063395023346,None,310.6230688095093,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_011.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,12,0,12,0,,,Listen to the question and speak out your answer!,313.69056487083435,None,313.6734661579132,315.6900727748871,Er wird die Wurst mit Butter braten.,braten,315.07330455780027,317.1900808811188,317.57351365089414,None,330.2741815090179,None,331.6908359527588,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_012.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,13,0,13,0,,,Listen to the question and speak out your answer!,334.7577509880066,None,334.72462849617,336.75790786743164,Früher haben in Europa und Asien Neandertaler gelebt.,gelebt,336.1410705089569,None,340.24127449989317,None,351.3419455528259,352.3586368560791,352.7586498260498,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_013.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,14,0,14,0,,,Listen to the question and speak out your answer!,355.7927129268646,None,355.7588685035705,357.792231798172,In Österreich gibt es eine richtige Kaffeehauskultur.,gibt,357.1754726409912,360.49231481552124,360.8422705173492,361.8590488433838,372.3762635231018,None,373.7929289340973,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_014.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,15,0,15,0,,,Listen to the question and speak out your answer!,376.82667088508606,None,376.8100730895996,378.82661485671997,"In Neuseeland und Irland ist es so grün, weil es besonders oft regnet.",regnet,378.20989360809324,None,382.9435376167297,None,393.41078462600706,394.42741894721985,394.8274178504944,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_015.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,16,0,16,0,,,Listen to the question and speak out your answer!,397.8611218929291,None,397.8444001197815,399.86102390289307,Ich empfehle Ihnen unbedingt die traditionale Speise.,empfehle,399.2443806171417,402.59448981285095,402.9778496265411,403.9944667816162,414.4451076030731,None,415.8618497848511,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_016.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,17,0,17,0,,,Listen to the question and speak out your answer!,418.9287738800049,None,418.89548640251155,420.92878699302673,"Weil er so hungrig war, hat Franz einmal einen Apfel gestohlen.",gestohlen,420.31208553314207,424.09585785865784,424.4790786743164,425.4956908226013,435.5128985881805,None,436.9296147823334,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_017.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,18,0,18,0,,,Listen to the question and speak out your answer!,439.9798538684845,None,439.9465682029724,441.97986578941345,Die Tulpen stammen eigentlich aus Persien und der Türkei.,stammen,441.36315670013425,444.88006591796875,445.2633506298065,None,456.56396260261533,457.5807249546051,457.98069882392883,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_018.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,19,0,19,0,,,Listen to the question and speak out your answer!,461.01458978652954,None,460.997678232193,463.0142729282379,"Wenn es kalt wird, muss ich einen warmen Pullover tragen.",tragen,462.39758052825925,None,466.0644287109375,None,477.59837164878843,None,479.01519298553467,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_019.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,20,0,20,0,,,Listen to the question and speak out your answer!,482.0821747779846,None,482.0654222488403,484.08203077316284,"Als das Spiel unentschieden endete, wurde es um zweimal 15 Minuten verlängert.",endete,483.4653736591339,488.5489308834076,488.9322265625,None,498.66612162590025,None,500.08287477493286,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_020.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,21,0,21,0,,,Listen to the question and speak out your answer!,503.15047097206116,None,503.1332010746002,505.14978098869324,"Ich kann dir gerne mein Fahrrad leihen, wenn du möchtest.",leihen,504.53309550285337,507.61662197113037,507.9999345779419,509.0166618824005,519.7339936733246,None,521.1506509780884,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_021.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,22,0,22,0,,,Listen to the question and speak out your answer!,524.2185018062592,None,524.2009381771087,526.2175347805023,Der Präsident diskutierte das Thema auf der Pressekonferenz nicht.,diskutierte,525.6008395195007,529.8510599136353,530.2344855308532,None,540.801570558548,None,542.218407869339,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_022.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,23,0,23,0,,,Listen to the question and speak out your answer!,545.2691648006439,None,545.252008485794,547.2686059474945,Lisa tanzt im Ballett.,tanzt,546.6519326210022,None,548.6519516944885,None,561.8528264999389,None,563.2694518566132,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_023.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,24,0,24,0,,,Listen to the question and speak out your answer!,566.320230960846,None,566.3031104087829,568.319727897644,Ich bin krank und bleibe heute im Bett.,bleibe,567.7030166625976,570.1199069023132,570.5031806468963,None,582.9037984848022,None,584.3206009864807,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_024.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
